ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
180	PR	3	4	36	0.162	14.390	81.161	20.715	11.072	25.266	0.589	0.153031	0.283868
180	PR	3	5	37	0.204	15.730	130.065	31.580	7.001	NA	0.547	0.270279	0.311067
190	PR	4	1	37	0.156	18.000	73.983	9.110	2.308	NA	0.503	0.160056	0.084401
190	PR	4	2	47	0.200	20.600	152.739	19.775	4.595	33.602	0.532	0.308364	0.099067
190	PR	4	3	52	0.259	20.700	254.852	39.638	10.349	NA	0.483	0.570245	0.146573
190	PR	4	4	52	0.252	21.000	218.370	37.394	10.617	59.097	0.427	0.556077	0.238489
190	PR	4	5	49	0.301	20.400	351.176	132.480	12.029	NA	0.446	0.848817	0.300654
174	PR	5	1	13	0.052	3.900	2.639	2.505	1.250	NA	0.550	0.005331	0.817746
174	PR	5	2	15	0.061	4.700	4.168	3.605	1.412	1.814	0.509	0.008820	0.272888
174	PR	5	3	17	0.076	4.500	5.800	3.487	1.443	NA	0.531	0.012342	0.369891
174	PR	5	4	10	0.025	2.300	0.717	0.590	0.303	NA	0.565	0.001352	0.155399
174	PR	5	5	11	0.031	2.300	1.097	0.524	0.483	0.593	0.671	0.001843	0.245554
13	PR	6	1	28	0.117	9.200	26.611	8.255	1.150	NA	0.620	0.051029	0.034532
13	PR	6	2	34	0.125	11.500	37.916	10.980	4.200	27.266	0.563	0.072390	0.056303
13	PR	6	3	35	0.130	11.450	45.298	5.605	2.827	NA	0.591	0.085272	0.065736
13	PR	6	4	36	0.161	12.900	71.343	5.662	5.374	13.787	0.529	0.154653	0.117925
13	PR	6	5	35	0.182	12.800	78.770	18.956	4.544	NA	0.488	0.175779	0.133007
183	PR	7	1	41	0.142	15.200	63.334	11.176	2.949	NA	0.558	0.128634	0.152532
183	PR	7	2	40	0.149	16.600	79.310	9.028	3.066	34.218	0.607	0.140262	0.230459
183	PR	7	3	45	0.177	16.600	116.990	9.050	2.920	NA	0.609	0.204102	0.230827
183	PR	7	4	45	0.182	18.300	126.177	12.126	5.370	32.631	0.532	0.249131	0.416173
183	PR	7	5	47	0.243	17.700	196.723	38.142	12.672	NA	0.568	0.380044	0.344409
