sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
CJ	110	3	3	29	0.15	15.4	52.319	7.621	19.826	NA	0.392	0.131101	0.555048	0.0176714586764426	608.431667187893	1.52460865077696	NA	NA	0.399073996384467	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	82	10	1	37	0.227	17.1	114.055	12.956	7.522	NA	0.335	0.333926	0.87471	0.0404707819617071	402.882674604553	1.17954495638069	NA	NA	0.341557710390925	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	110	3	5	29	0.205	16.6	78.662	7.059	14.674	NA	0.288	0.268444	0.382812	0.0330063578167778	373.988615875192	1.27628333884213	NA	NA	0.293029458658044	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	39	5	5	37	0.332	19.9	256.477	28.557	35.173	NA	0.303	0.835906	0.796082	0.0865697271623204	383.065799264511	1.24848232005209	NA	NA	0.306825169337222	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJa	1026	1	1	25	0.07	4.7	8.07	3.654	1.906	3.263	0.6457	0.012375	0.004989	0.0038484510006475	1101.41414141414	1.68897149938042	1365.09090909091	2.09330855018587	0.652121212121212	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1026	1	2	39	0.078	4.7	10.955	5.276	2.941	NA	0.782	0.013994	0.008061	0.00477836242611008	1370.0157210233	1.75006846188955	NA	NA	0.78283550092897	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1026	1	3	37	0.091	5.2	11.507	6.808	1.954	3.163	0.6289	0.017772	0.008352	0.00650388219109427	1140.50191312176	1.76144955244634	1318.47850551429	2.03632571478231	0.647479180733738	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1026	1	4	46	0.097	5.1	16.729	6.307	5.495	NA	0.7007	0.024246	0.012743	0.00738981131940659	1176.73018229811	1.70548149919302	NA	NA	0.689969479501773	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1026	1	5	45	0.105	5.9	21.276	13.161	3.896	14.601	0.7831	0.027684	0.018119	0.00865901475145687	1384.66262100852	1.80170144764053	1912.07917930935	2.48796766309457	0.76853055916775	Camellia_japonica	EBF	Camellia	Theaceae
CJa	1027	2	1	28	0.065	4.4	7.229	2.379	1.224	3.781	0.6291	0.011829	0.00542	0.00331830724035422	915.715614168569	1.49840918522617	1235.35379152929	2.02144141651681	0.61112520077775	Camellia_japonica	EBF	Camellia	Theaceae
